Title;Source;DOI;Year Published;WOS Number
Modelling the effects of capture and sea lice [Lepeophtheirus salmonis (Kroyer)] infestation on the cortisol stress response in trout;AQUACULTURE RESEARCH;10.1046/j.1365-2109.2000.00516.x;2000;WOS:000165393000006
Variation in sensitivity of sea lice [Lepeophtheirus salmonis (Kroyer)] to dichlorvos on Irish salmon farms in 1991-92;AQUACULTURE RESEARCH;10.1046/j.1365-2109.2000.00518.x;2000;WOS:000165393000008
Molecular cloning of an Atlantic salmon nucleoside diphosphate kinase cDNA and its pattern of expression during embryogenesis;GENE;10.1016/S0378-1119(00)00374-7;2000;WOS:000165365900014
Baseline water quality investigations on Lough Carra, western Ireland, with reference to water chemistry, phytoplankton and aquatic plants;BIOLOGY AND ENVIRONMENT-PROCEEDINGS OF THE ROYAL IRISH ACADEMY;;2000;WOS:000166348200002
Long- and short-term consequences of a Nephrops trawl fishery on the benthos and environment of the Irish Sea;ICES JOURNAL OF MARINE SCIENCE;10.1006/jmsc.2000.0924;2000;WOS:000165979200004
Epilithic boulder communities of Lough Hyne, Ireland: the influences of water movement and sediment;JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM;10.1017/S0025315400002733;2000;WOS:000165459500001
Occurrence of canthaxanthin in Atlantic salmon, Salmo salar L., fry in Irish rivers as an indicator of escaped farmed salmon;FISHERIES MANAGEMENT AND ECOLOGY;10.1046/j.1365-2400.2000.00209.x;2000;WOS:000089718400001
Regulation and monitoring of marine aquaculture in Ireland;JOURNAL OF APPLIED ICHTHYOLOGY-ZEITSCHRIFT FUR ANGEWANDTE ICHTHYOLOGIE;10.1046/j.1439-0426.2000.00263.x;2000;WOS:000088954000009
Experimental exposure of rainbow trout Oncorhynchus mykiss (Walbaum) to the infective stages of the sea louse Lepeophtheirus salmonis (Kroyer) influences the physiological response to an acute stressor;FISH & SHELLFISH IMMUNOLOGY;10.1006/fsim.1999.0260;2000;WOS:000088292400005
An evaluation of the use of triploid Atlantic salmon (Salmo salar L.) in minimising the impact of escaped farmed salmon on wild populations;AQUACULTURE;10.1016/S0044-8486(99)00367-1;2000;WOS:000086694500005
The potential of flat-bed passive integrated transponder antennae for studying habitat use by stream fishes;ECOLOGY OF FRESHWATER FISH;10.1034/j.1600-0633.2000.90108.x;2000;WOS:000087138500008
Incidence of hybridization between Atlantic salmon, Salmo salar L., and brown trout, Salmo trutta L., in Ireland;FISHERIES MANAGEMENT AND ECOLOGY;10.1046/j.1365-2400.2000.00208.x;2000;WOS:000087983700006
Differences in head shape of the European eel, Anguilla anguilla (L.);FISHERIES MANAGEMENT AND ECOLOGY;10.1046/j.1365-2400.2000.007004349.x;2000;WOS:000087983700007
A long-term mesocosm study on the settlement and survival of juvenile European lobster Homarus gammarus L. in four natural substrata;JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY;10.1016/S0022-0981(00)00190-8;2000;WOS:000087390100004
Death of a sand sea: an active aeolian erg systematically buried by the Etendeka flood basalts of NW Namibia;JOURNAL OF THE GEOLOGICAL SOCIETY;10.1144/jgs.157.3.513;2000;WOS:000086855100001
On the occurrence of juvenile lobster Homarus gammarus in intertidal habitat;JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM;10.1017/S0025315499002039;2000;WOS:000087039800026
Records of deep water chondrichthyan fish caught on long-line in the Rockall Trough;JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM;10.1017/S0025315499002040;2000;WOS:000087039800027
VARNET-96: influence of the Variscan and Caledonian orogenies on crustal structure in SW Ireland;GEOPHYSICAL JOURNAL INTERNATIONAL;10.1046/j.1365-246X.2000.00035.x;2000;WOS:000085459900018
Techniques for the objective detection of pattern in chlorophyll samples at different temporal scales: an example using data from Lough Hyne, a seasonally stratified inlet;HYDROBIOLOGIA;10.1023/A:1003947106880;2000;WOS:000086541800010
Egg brooding by deep-sea octopuses in the North Pacific Ocean;BIOLOGICAL BULLETIN;10.2307/1542807;2000;WOS:000085606500010
Geographic variation in growth and food conversion efficiency of juvenile Atlantic halibut related to latitude;JOURNAL OF FISH BIOLOGY;10.1006/jfbi.1999.1159;2000;WOS:000085859400004
Dynamics of a subtidal population of the porcellanid crab Pisidia longicornis (Decapoda : Crustacea);JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM;10.1017/S0025315499001587;2000;WOS:000085992100007
Quantifying daily migration in the sea urchin Paracentrotus lividus;JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM;10.1017/S0025315499001721;2000;WOS:000085992100021
Caligus elongatus as parasites of farmed salmonids in Ireland;CONTRIBUTIONS TO ZOOLOGY;10.1163/18759866-0690102007;2000;WOS:000087609000008
Trophic structure of macrobenthos in the Gulf of St. Lawrence and on the Scotian Shelf;DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY;10.1016/S0967-0645(99)00122-8;2000;WOS:000084933000012
Case history on the design of foundations for a concrete gravity structure in shallow water;GEOSHORE INTERNATIONAL CONFERENCE ON OFFSHORE AND NEARSHORE GEOTECHNICAL ENGINEERING;;2000;WOS:000087086700046
Ecology of tropical hermit crabs at Quirimba Island, Mozambique: niche width and resource allocation;MARINE ECOLOGY PROGRESS SERIES;10.3354/meps206171;2000;WOS:000165693700015
Mussels Mytilus edulis: significant consumers and destroyers of mesozooplankton;MARINE ECOLOGY PROGRESS SERIES;10.3354/meps198131;2000;WOS:000088100100013
Spatial variability in decapod community structure and recruitment in sub-tidal habitats;MARINE ECOLOGY PROGRESS SERIES;10.3354/meps194133;2000;WOS:000086432600012
A mid-Frasnian marine incursion into the southern part of the Munster Basin: evidence from the Foilcoagh Bay Beds, Sherkin Formation, SW County Cork, Ireland;Geological Society Special Publication;10.1144/GSL.SP.2000.180.01.15;2000;WOS:000168322200014
High diversity of tropical intertidal zone sponges in temperature, salinity and current extremes;AFRICAN JOURNAL OF ECOLOGY;10.1046/j.1365-2028.1999.00197.x;1999;WOS:000084424300005
Diet of otters Lutra lutra on Inishmore, Aran Islands, west coast of Ireland;BIOLOGY AND ENVIRONMENT-PROCEEDINGS OF THE ROYAL IRISH ACADEMY;;1999;WOS:000166348000001
Prothrombin time, activated partial thromboplastin time and fibrinogen values in Mediterranean marine teleosts;FISH PHYSIOLOGY AND BIOCHEMISTRY;10.1023/A:1007882020754;1999;WOS:000085987500006
Preliminary study on the gonad development of the exotic ascidian Styela clava in Cork Harbour, Ireland;JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM;10.1017/S0025315499001472;1999;WOS:000085328200029
Successful stock enhancement of a lagoon prawn fishery at Rekawa, Sri Lanka using cultured post-larvae of penaeid shrimp;AQUACULTURE;10.1016/S0044-8486(99)00141-6;1999;WOS:000082445000006
The relative lengths of seashore substrate around the coastline of Ireland as determined by digital methods in a geographical information system;ESTUARINE COASTAL AND SHELF SCIENCE;10.1006/ecss.1999.0507;1999;WOS:000083566700004
Prolonged settlement and prediction of recruitment in two sympatric intertidal Chthamalus species from south-west Ireland;JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM;10.1017/S0025315499001125;1999;WOS:000083210200017
Vertical and horizontal fluxes of plutonium and americium in the western Mediterranean and the Strait of Gibraltar;SCIENCE OF THE TOTAL ENVIRONMENT;;1999;WOS:000083272200008
Modelling settlement in open populations of reef fishes;ECOLOGICAL MODELLING;10.1016/S0304-3800(99)00087-3;1999;WOS:000082680100011
Swimbladder volume and body density in an armoured benthic fish, the streaked gurnard;JOURNAL OF FISH BIOLOGY;10.1006/jfbi.1999.1015;1999;WOS:000082194400006
Rapid environmental changes in southern Europe during the last glacial period;NATURE;10.1038/23432;1999;WOS:000082131100043
Effects of temperature and temperature acclimation on survival of zebra mussels (Dreissena polymorpha) and Asian clams (Corbicula fluminea) under extreme hypoxia;JOURNAL OF MOLLUSCAN STUDIES;10.1093/mollus/65.3.317;1999;WOS:000082552500005
Gametogenesis of the oyster Crassostrea gigas in southern Ireland;JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM;10.1017/S0025315498000836;1999;WOS:000082351600010
Equatorial weathering, landform development and the formation of white sands in north western Kalimantan, Indonesia;CATENA;10.1016/S0341-8162(99)00014-4;1999;WOS:000080565900003
The influence of sedimentary heterogeneity on within maerl bed differences in infaunal crustacean community;ESTUARINE COASTAL AND SHELF SCIENCE;10.1006/ecss.1999.0484;1999;WOS:000081575300011
Spatial and temporal patterns of zooplankton standing biomass and production in Lake Malawi;HYDROBIOLOGIA;10.1023/A:1003711306243;1999;WOS:000083710100019
Metazoan parasite community structure of sea trout on the west coast of Ireland;JOURNAL OF FISH BIOLOGY;10.1111/j.1095-8649.1999.tb00662.x;1999;WOS:000081213800012
Interpretation of vitrinite reflectance profiles in the central Irish Sea area: Implications for the timing of organic maturation;JOURNAL OF PETROLEUM GEOLOGY;10.1111/j.1747-5457.1999.tb00987.x;1999;WOS:000081710000002
Spatial and temporal variation in the infestation of sea trout (Salmo trutta L.) by the caligid copepod Lepeophtheirus salmonis (Kroyer) in relation to sources of infection in Ireland;PARASITOLOGY;10.1017/S003118209900445X;1999;WOS:000081759000005
Infection with low numbers of the sea louse Lepeophtheirus salmonis induces stress-related effects in postsmolt Atlantic salmon (Salmo salar);CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES;10.1139/cjfas-56-6-947;1999;WOS:000081516700005
Population dynamics and energy budget for a population of Donax variabilis (Say) on an exposed South Carolina beach;JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY;10.1016/S0022-0981(99)00027-1;1999;WOS:000080565800005
The influence of ice on polar nearshore benthos;JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM;10.1017/S0025315498000514;1999;WOS:000081193300002
Epidermal diseases in bottlenose dolphins: impacts of natural and anthropogenic factors;PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES;10.1098/rspb.1999.0746;1999;WOS:000080598200014
Atlantic salmon (Salmo salar) prolactin cDNA sequence and its mRNA expression after transfer of fish between salinities;FISH PHYSIOLOGY AND BIOCHEMISTRY;10.1023/A:1007711504712;1999;WOS:000081035200007
A high resolution estimate of the inorganic nitrogen flux from the Scheldt estuary to the coastal North Sea during a nitrogen-limited algal bloom, spring 1995;GEOCHIMICA ET COSMOCHIMICA ACTA;10.1016/S0016-7037(99)00034-4;1999;WOS:000081561200008
Differential expression of Atlantic salmon thyrotropin beta subunit mRNA and its cDNA sequence;JOURNAL OF FISH BIOLOGY;10.1111/j.1095-8649.1999.tb02031.x;1999;WOS:000079382600005
The sizes at settlement in natural populations of the cyprids of Chthamalus montagui and C-stellatus;JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM;10.1017/S0025315498000423;1999;WOS:000080260200020
The first evidence of offshore spawning in the squid species Loligo forbesi;JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM;10.1017/S0025315498000484;1999;WOS:000080260200026
The generation and degradation of marine terraces;BASIN RESEARCH;;1999;WOS:000080644800002
Possible latitudinal dines in Antarctic intertidal and subtidal zone communities encrusting ephemeral hard substrata;JOURNAL OF BIOGEOGRAPHY;10.1046/j.1365-2699.1999.00264.x;1999;WOS:000081618000002
Fossil shore platforms and drowned gravel beaches: Evidence for high-frequency sea-level fluctuations in the distal Alpine foreland basin;JOURNAL OF SEDIMENTARY RESEARCH;10.2110/jsr.69.394;1999;WOS:000079183700008
Relative intensity of predation on the French grunt, Haemulon flavolineatum, during diurnal, dusk, and nocturnal periods on a coral reef;MARINE BIOLOGY;10.1007/s002270050472;1999;WOS:000079269700017
Sublethal arm loss in Asterias amurensis, A-rubens, A-vulgaris, and A-forbesi (Echinodermata : Asteroidea);VIE ET MILIEU-LIFE AND ENVIRONMENT;;1999;WOS:000079941000007
Age estimation, growth, maturity, and distribution of the bluemouth rockfish Helicolenus d. dactylopterus (Delaroche 1809) from the Rockall Trough;ICES JOURNAL OF MARINE SCIENCE;10.1006/jmsc.1998.0426;1999;WOS:000079024000006
Benthic community re-adjustment following dredging of a muddy-maerl matrix;MARINE POLLUTION BULLETIN;10.1016/S0025-326X(98)00103-9;1999;WOS:000078930800015
