Title;Source;DOI;Year Published;WOS Number
Trends in the Discovery of New Marine Natural Products from Invertebrates over the Last Two Decades - Where and What Are We Bioprospecting?;PLOS ONE;10.1371/journal.pone.0030580;2012;WOS:000301568100058
Is There a Seamount Effect on Microbial Community Structure and Biomass? The Case Study of Seine and Sedlo Seamounts (Northeast Atlantic);PLOS ONE;10.1371/journal.pone.0029526;2012;WOS:000299771900016
Callovian (Middle Jurassic) dinoflagellate cysts from the Algarve Basin, southern Portugal;REVIEW OF PALAEOBOTANY AND PALYNOLOGY;10.1016/j.revpalbo.2011.10.008;2012;WOS:000302044700004
Biosedimentary disturbances in shallow-water carbonate environments: An example from the Upper Hauterivian in the Lusitanian Basin;PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY;10.1016/j.palaeo.2011.11.005;2012;WOS:000300269200003
Biotransformation modulation and genotoxicity in white seabream upon exposure to paralytic shellfish toxins produced by Gymnodinium catenatum;AQUATIC TOXICOLOGY;10.1016/j.aquatox.2011.08.023;2012;WOS:000300205300006
Four stanniocalcin genes in teleost fish: Structure, phylogenetic analysis, tissue distribution and expression during hypercalcemic challenge;GENERAL AND COMPARATIVE ENDOCRINOLOGY;10.1016/j.ygcen.2011.11.033;2012;WOS:000299137900015
Assessment of Variation in Bacterial Composition among Microhabitats in a Mangrove Environment Using DGGE Fingerprints and Barcoded Pyrosequencing;PLOS ONE;10.1371/journal.pone.0029380;2012;WOS:000301355700022
Water Detection with Segmentation Guided Dynamic Texture Recognition;2012 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND BIOMIMETICS (ROBIO 2012);;2012;WOS:000321004000309
Coordinated Control of Ocean Going Vehicles;IEEE OES Autonomous Underwater Vehicles;;2012;WOS:000316895100039
Wavefront Segmentation and Classification for Model-Based Underwater High-Frequency Tomography;2012 OCEANS;;2012;WOS:000315350300224
USING K-MEANS AND MORPHOLOGICAL SEGMENTATION FOR INTERTIDAL FLATS RECOGNITION;IEEE International Symposium on Geoscience and Remote Sensing IGARSS;10.1109/IGARSS.2012.6351452;2012;WOS:000313189400187
DETECTION AND MITIGATION OF RADIO FREQUENCY INTERFERENCE IN SMOS DATA;IEEE International Symposium on Geoscience and Remote Sensing IGARSS;10.1109/IGARSS.2012.6350451;2012;WOS:000313189404150
REVIEW OF THE IMAGE RECONSTRUCTION TECHNIQUES USED IN SMOS DATA PROCESSING;IEEE International Symposium on Geoscience and Remote Sensing IGARSS;10.1109/IGARSS.2012.6350429;2012;WOS:000313189404168
